,t,z,csim,csim2,cvar,cvar2
0,1.0,0.0,0.001108023709228163,0.08974358519895081,1.336183492831849e-05,0.00029715071597301995
1,1.0,1.0,0.002426834259811284,0.08900644665992428,3.4804116915536023e-05,0.00026951006555408705
2,1.0,2.0,0.0038988899750505078,0.08818959715048233,7.673552171758331e-05,0.00024435213060424593
3,1.0,3.0,0.005586091408822577,0.08737214590540025,0.00015281208547557386,0.00022061396312438638
4,1.0,4.0,0.007562600447039921,0.08655206831147935,0.00028354632215392883,0.0001985567212669133
5,1.0,5.0,0.009915553210714065,0.08572479445213109,0.0004983033022102671,0.00017828144103085742
6,1.0,6.0,0.012742233311516778,0.08488648174077115,0.000837162116486388,0.00015984216784447388
7,1.0,7.0,0.01615214919693064,0.08403097937997138,0.0013525877257893084,0.00014323885205175073
8,1.0,8.0,0.020260019523492018,0.083155138714962,0.0021101521544875123,0.00012857769807024175
9,1.0,9.0,0.025182498330267103,0.08225639837394279,0.0031874246903418734,0.00011606446487604123
10,1.0,10.0,0.031042028623631566,0.08132986269238848,0.004674925995379946,0.00010587930122680708
11,1.0,11.0,0.03794870780244318,0.0803721308784274,0.006669124887851912,9.827885959592161e-05
12,1.0,12.0,0.046003822304930435,0.07937928693281512,0.009269591954077686,9.351708668403451e-05
13,1.0,13.0,0.055292802800167955,0.07834771116679694,0.012573238866264325,9.185224614418133e-05
14,1.0,14.0,0.06588049982424894,0.07727435987231011,0.016668666889531197,9.351473187261834e-05
15,1.0,15.0,0.07780692893317535,0.07615657065529206,0.021630344482886615,9.869492345066823e-05
16,1.0,16.0,0.09108411748300108,0.07499229498995691,0.027513599974212485,0.00010752713516285449
17,1.0,17.0,0.10569411809462502,0.07378018222113983,0.03435105645794354,0.00012007626835622374
18,1.0,18.0,0.12158835747523782,0.07251963797614448,0.04215100370750602,0.0001363279499763748
19,1.0,19.0,0.13868820724412723,0.07121085774222072,0.05089783732624915,0.00015618240235739083
20,1.0,20.0,0.15688702740244503,0.06985482886666206,0.06055445613035748,0.00017945327845452115
21,1.0,21.0,0.1760530549823744,0.06845330835205697,0.07106622212236854,0.00020587077975753147
22,1.0,22.0,0.196033300338987,0.06700877524058493,0.08236603210763205,0.00023508920235043758
23,1.0,23.0,0.2166580529290058,0.0655243627086119,0.09437987981236995,0.00026669805918662793
24,1.0,24.0,0.2377457492650588,0.06400377429285112,0.1070323268242839,0.00030023587457973094
25,1.0,25.0,0.2591079497430398,0.06245118905758645,0.12025136250456622,0.0003352056347896075
26,1.0,26.0,0.28055419005564386,0.0608711604565444,0.13397225934730433,0.0003710908809257331
27,1.0,27.0,0.30189650970268517,0.05926851332739108,0.14814018538959675,0.00040737151226790703
28,1.0,28.0,0.32295350419258156,0.05764824293272656,0.1627114943809401,0.0004435385101190588
29,1.0,29.0,0.343553794593133,0.05601541929846151,0.17765375655484894,0.0004791069712803786
30,1.0,30.0,0.36353885374103073,0.054375099369747264,0.1929447040206246,0.0005136270334610751
31,1.0,31.0,0.38276516950820816,0.052732248768891696,0.2085703381176713,0.0005466924630422713
32,1.0,32.0,0.40110576000699216,0.05109167424817745,0.2245224810629823,0.0005779468441509954
33,1.0,33.0,0.41845108249032065,0.04945796731761231,0.24079605524516662,0.0006070874477708795
34,1.0,34.0,0.43470939683217713,0.04783545901372017,0.2573863479443016,0.0006338669662920575
35,1.0,35.0,0.4498066563726916,0.046228185368686246,0.2742864756858354,0.0006580933721563433
36,1.0,36.0,0.46368600452560754,0.0446398628379313,0.29148520928008126,0.0006796282016867492
37,1.0,37.0,0.4763069560405568,0.04307387274039731,0.3089652651183094,0.0006983835812560337
38,1.0,38.0,0.48764433841532745,0.04153325364676362,0.3267021160760384,0.0007143183080054189
39,1.0,39.0,0.49768706283041747,0.040020700601948685,0.34466333015650574,0.0007274332768889521
40,1.0,40.0,0.5064367861570087,0.03853857007472978,0.3628084088284087,0.00073776651503963
41,1.0,41.0,0.5139065169234946,0.03708888957459478,0.38108907058692526,0.0007453880477905953
42,1.0,42.0,0.5201192092768675,0.03567337095201942,0.39944990835300537,0.0007503947817506743
43,1.0,43.0,0.5251063804315669,0.03429342649196247,0.41782934084456036,0.0007529055518791909
44,1.0,44.0,0.528906779186717,0.03295018701334736,0.4361607761503331,0.0007530564434705678
45,1.0,45.0,0.5315651260118262,0.031644521292645146,0.45437390856196824,0.0007509964675872548
46,1.0,46.0,0.5331309390466326,0.030377056232703963,0.47239607660182814,0.000746883640438727
47,1.0,47.0,0.5336574551517196,0.02914819729585407,0.49015362112151595,0.00074088149364594
48,1.0,48.0,0.5332006508491908,0.027958148808246753,0.507573195073465,0.0007331560233864873
49,1.0,49.0,0.5318183645387796,0.02680693382447148,0.5245829858675486,0.0007238730714195364
50,1.0,50.0,0.5295695186763142,0.025694413312272995,0.5411138155673949,0.0007131961198965215
51,1.0,51.0,0.5265134385607727,0.024620304473641795,0.5571000923418763,0.0007012844741949385
52,1.0,52.0,0.5227092628979212,0.023584198080547798,0.5724806079666664,0.0006882918021911047
53,1.0,53.0,0.5182154402949434,0.02258557473233885,0.5871991984349134,0.0006743649961117169
54,1.0,54.0,0.5130893052132613,0.021623819999509037,0.6012052766484203,0.0006596433208906624
55,1.0,55.0,0.5073867265784301,0.02069823842034656,0.6144542062368474,0.0006442578147005962
56,1.0,56.0,0.501161822166298,0.019808066366746403,0.6269074762171614,0.0006283309072606674
57,1.0,57.0,0.4944667319766795,0.018952483787836528,0.6385327158062074,0.0006119762241290738
58,1.0,58.0,0.487351444041365,0.018130624889961245,0.649303688475832,0.0005952985455269703
59,1.0,59.0,0.47986366643582956,0.01734158777676333,0.6592003514944323,0.0005783938930452974
60,1.0,60.0,0.4720487396482896,0.016584443103139206,0.6682088314279953,0.0005613497204852888
61,1.0,61.0,0.46394958390015867,0.015858241835113286,0.676321032943667,0.0005442451873940535
62,1.0,62.0,0.45560667643969577,0.015162022116983533,0.683533889219648,0.0005271514982559082
63,1.0,63.0,0.4470580543112957,0.014494815374996054,0.6898487850871343,0.000510132285997617
64,1.0,64.0,0.4383393385205766,0.013855651650342473,0.6952717083603022,0.0004932440253982445
65,1.0,65.0,0.4294837759859553,0.013243564290539207,0.6998138257962385,0.00047653646390492175
66,1.0,66.0,0.4205222959731148,0.012657593985025662,0.7034912574800014,0.00046005306769535354
67,1.0,67.0,0.41148357817132214,0.012096792278186462,0.7063232618842791,0.000443831475993911
68,1.0,68.0,0.40239412982396533,0.011560224525620328,0.7083299713683234,0.0004279039540887853
69,1.0,69.0,0.3932783697873017,0.01104697244385429,0.7095321583783697,0.00041229782640588117
70,1.0,70.0,0.38415871763334086,0.010556136178634488,0.7099539662763376,0.00039703588480405864
71,1.0,71.0,0.37505568628712377,0.010086836086638531,0.7096258500461501,0.0003821367773931318
72,1.0,72.0,0.36598797674838296,0.009638214083680905,0.7085832909195352,0.00036761539813921887
73,1.0,73.0,0.3569725736600102,0.009209434785452048,0.7068604276719228,0.0003534832745964233
74,1.0,74.0,0.34802484047635873,0.008799686359462601,0.7044841052636043,0.0003397489328319543
75,1.0,75.0,0.3391586134127355,0.00840818110373755,0.7014757836015877,0.0003264182098192053
76,1.0,76.0,0.3303862935653157,0.008034155885048182,0.6978619943927309,0.0003134945093751079
77,1.0,77.0,0.32171893716121114,0.0076768723826487004,0.6936837513075897,0.00030097904101962703
78,1.0,78.0,0.31316634377377606,0.007335617135683257,0.6889928908609814,0.00028887108799330715
79,1.0,79.0,0.30473714205624336,0.007009701513939967,0.683834404330954,0.0002771683061625577
80,1.0,80.0,0.29643887213192893,0.006698461561014875,0.6782297934965751,0.0002658669995714526
81,1.0,81.0,0.2882780634315237,0.006401257688368706,0.6721804158188464,0.0002549623050967686
82,1.0,82.0,0.28026030771329613,0.0061174743578976155,0.6656936290037547,0.00024444827646004445
83,1.0,83.0,0.2723903279747573,0.005846519650046391,0.6588105226455787,0.0002343179465323581
84,1.0,84.0,0.264672044984797,0.005587824801614853,0.6516061283134381,0.0002245634699261966
85,1.0,85.0,0.25710864301408537,0.005340843663926002,0.6441537700537415,0.00021517637550483805
86,1.0,86.0,0.2497026342626228,0.005105052154575838,0.636479921241102,0.00020614783800823488
87,1.0,87.0,0.242455919418512,0.004879947677495438,0.6285522300439944,0.0001974688261821476
88,1.0,88.0,0.23536984084731802,0.004665048466622885,0.620320865720478,0.00018913006245967342
89,1.0,89.0,0.22844522703042758,0.004459892982073418,0.6117861742064222,0.00018112188368650853
90,1.0,90.0,0.2216824309486662,0.004264039255477846,0.6030346074871294,0.00017343419401339983
91,1.0,91.0,0.21508136862396318,0.004077064268464117,0.594202469855364,0.00016605663983350837
92,1.0,92.0,0.20864156376461604,0.003898563282631596,0.5853853599097677,0.00015897895119170477
93,1.0,93.0,0.20236219890983376,0.0037281492245094645,0.5765636389535118,0.00015219122852198812
94,1.0,94.0,0.1962421660370662,0.003565452024834853,0.5676127227617324,0.0001456839624505329
95,1.0,95.0,0.19028010522817804,0.0034101179882050385,0.558404824156379,0.0001394477656954185
96,1.0,96.0,0.18447442371514675,0.003261809116380065,0.5489314729192919,0.00013347303200917965
97,1.0,97.0,0.1788232985406489,0.0031202025179357927,0.5393476917982986,0.00012774981947187984
98,1.0,98.0,0.17332467816279712,0.0029849898107136854,0.5298890468544923,0.00012226810586624232
99,1.0,99.0,0.16797630209367664,0.0028558765611211654,0.520709576059557,0.00011701827778406186
100,1.0,100.0,0.16277574820933133,0.0027325817492337623,0.5117583777780299,0.00011199151299854565
101,1.0,101.0,0.15772049787416315,0.002614837198172313,0.5027969273060211,0.00010717976161471224
102,1.0,102.0,0.1528079918597788,0.0025023870241449547,0.4935620941312771,0.0001025753073773371
103,1.0,103.0,0.14803564808695527,0.002394987061882245,0.4839690849181564,9.81702032313427e-05
104,1.0,104.0,0.14340083104903364,0.002292404318984748,0.4742072611091978,9.395599051416582e-05
105,1.0,105.0,0.13890079328694543,0.0021944164932084153,0.4646463402331863,8.992393444926036e-05
106,1.0,106.0,0.13453263298955917,0.0021008115315749023,0.4556009684120466,8.606565315822722e-05
107,1.0,107.0,0.13029331001916802,0.0020113872587625764,0.44710770020002316,8.237372920066082e-05
108,1.0,108.0,0.1261797318293788,0.0019259509913972675,0.43887261206175743,7.88418787544662e-05
109,1.0,109.0,0.12218887519574181,0.0018443191158659619,0.4304412835110159,7.546453222526707e-05
110,1.0,110.0,0.1183178780401176,0.0017663166243129808,0.42149384780706584,7.223607045538224e-05
111,1.0,111.0,0.11456404104404341,0.0016917766078169958,0.4120762579713424,6.915020197178534e-05
112,1.0,112.0,0.1109247246313846,0.0016205398125737633,0.402609193564346,6.619989441345722e-05
113,1.0,113.0,0.10739719081234227,0.0015524542741995307,0.393652871333503,6.337792971545691e-05
114,1.0,114.0,0.10397848282315204,0.001487375063688285,0.38556342775632046,6.0677755060901155e-05
115,1.0,115.0,0.1006654281765757,0.0014251641157138571,0.37825325063051735,5.809410392035664e-05
116,1.0,116.0,0.09745478881589259,0.0013656900176011498,0.3712123361451404,5.562298973022376e-05
117,1.0,117.0,0.0943434957110061,0.0013088277443196088,0.3637919713707865,5.326105034376716e-05
118,1.0,118.0,0.09132884400739502,0.0012544582565578557,0.35559048798041726,5.1004615320352805e-05
119,1.0,119.0,0.08840852867734904,0.0012024680327412422,0.3467125663298568,4.88490408379286e-05
120,1.0,120.0,0.08558047662135322,0.0011527486276189756,0.33774139791279817,4.678870704034467e-05
121,1.0,121.0,0.08284254320599332,0.0011051963717748005,0.3294280558707896,4.481769031998554e-05
122,1.0,122.0,0.08019222860926094,0.0010597122306439234,0.3222681134536266,4.293073368902516e-05
123,1.0,123.0,0.07762657855209802,0.0010162018261329548,0.31620522760599795,4.112396579243935e-05
124,1.0,124.0,0.07514235110639189,0.0009745754642032728,0.31063451218549065,3.939495864884854e-05
125,1.0,125.0,0.07273639276113955,0.000934748050760555,0.3047129149800646,3.774208149307895e-05
126,1.0,126.0,0.07040604469183814,0.0008966388081681925,0.2978127134146741,3.6163495291040283e-05
127,1.0,127.0,0.06814936305696515,0.0008601708248517408,0.28987277764813485,3.4656326615450196e-05
128,1.0,128.0,0.06596501365103698,0.000825270531878009,0.28145468948765967,3.321646024872015e-05
129,1.0,129.0,0.06385186024282534,0.0007918673183059925,0.2734676645353986,3.1839057745937567e-05
130,1.0,130.0,0.061808429705401326,0.00075989337305586,0.26670229126893535,3.0519527119010296e-05
131,1.0,131.0,0.05983251912028708,0.0007292837882095631,0.2614147012278777,2.9254437907077758e-05
132,1.0,132.0,0.05792116127861286,0.000699976808972507,0.25717760379120347,2.8041911246073422e-05
133,1.0,133.0,0.05607100067560566,0.0006719140393229599,0.2530776783423689,2.6881288890297415e-05
134,1.0,134.0,0.05427892836424419,0.0006450404302553754,0.24816234365956447,2.5772251069603716e-05
135,1.0,135.0,0.052542681561439576,0.0006193039577411086,0.24191330607146558,2.471382383802251e-05
136,1.0,136.0,0.05086110837984925,0.0005946550829946726,0.23451162017298408,2.3703761486829928e-05
137,1.0,137.0,0.04923394028846493,0.000571046163024754,0.22676308581174923,2.2738595851071576e-05
138,1.0,138.0,0.04766114359247702,0.0005484310447674441,0.2197196595025267,2.1814315764181256e-05
139,1.0,139.0,0.046142129256143936,0.0005267649922700569,0.21417931853442784,2.092734037669544e-05
140,1.0,140.0,0.04467518630278944,0.0005060049504044385,0.210303252586087,2.007532071421867e-05
141,1.0,141.0,0.04325742078926328,0.0004861099975148116,0.20753095161331625,1.9257397877686255e-05
142,1.0,142.0,0.04188526174257654,0.0004670417315825145,0.20483160483114962,1.847380938144012e-05
143,1.0,143.0,0.04055533534190685,0.0004487643829929307,0.201173289571911,1.7725037584650955e-05
144,1.0,144.0,0.039265328347623626,0.0004312445348161606,0.19599292417994268,1.7010895800832314e-05
145,1.0,145.0,0.03801444755887811,0.00041445052838001424,0.18945322439129594,1.6329962069426883e-05
146,1.0,146.0,0.0368032460054959,0.0003983517691241545,0.1823730277319922,1.5679600970446608e-05
147,1.0,147.0,0.0356328601642267,0.0003829182022522333,0.1758658270437066,1.5056545285499435e-05
148,1.0,148.0,0.03450396616750337,0.0003681201680773766,0.1708501345862083,1.4457765394514933e-05
149,1.0,149.0,0.03341589915496781,0.00035392867176053944,0.16764814068286413,1.3881240225382758e-05
150,1.0,150.0,0.03236632547223779,0.0003403159546605176,0.1658457663376641,1.3326301474707446e-05
