,t,z,csim,cvar
0,5.0,0.0,6.027377222208481e-05,3.2739143586637763e-07
1,5.0,1.5,0.00013587760633241466,1.1265555637414124e-06
2,5.0,3.0,0.0002692925978047166,3.251972666726821e-06
3,5.0,4.5,0.0004930905580993756,8.317006438326834e-06
4,5.0,6.0,0.0008530370405771118,1.939578515839123e-05
5,5.0,7.5,0.0014108097489874362,4.194230115123446e-05
6,5.0,9.0,0.002247473591570597,8.502497133337925e-05
7,5.0,10.5,0.003464000938056681,0.000162754029351127
8,5.0,12.0,0.005182036486588956,0.0002956811313440945
9,5.0,13.5,0.007542076756302928,0.0005118233566205169
10,5.0,15.0,0.010697262842889082,0.0008462686308359162
11,5.0,16.5,0.01480800628122714,0.0013402149122989555
12,5.0,18.0,0.020029618523298123,0.002037297835782508
13,5.0,19.5,0.026499557711520884,0.002978491733518414
14,5.0,21.0,0.034322659396698374,0.004195647269133273
15,5.0,22.5,0.04355669127823178,0.005705034202680275
16,5.0,24.0,0.05419916509288662,0.007502254454833159
17,5.0,25.5,0.06617779748766021,0.009560259326787097
18,5.0,27.0,0.07934576255530322,0.011831463048118449
19,5.0,28.5,0.09348285098815516,0.014254137583783261
20,5.0,30.0,0.10830284342057638,0.016762127987666704
21,5.0,31.5,0.12346666883210031,0.019295949636154594
22,5.0,33.0,0.13860020175455312,0.021812811751597962
23,5.0,34.5,0.15331499948446328,0.024293251728873675
24,5.0,36.0,0.1672299772510136,0.026742838327481946
25,5.0,37.5,0.17999200139713153,0.029188579390542632
26,5.0,39.0,0.19129362991691598,0.03167090278486993
27,5.0,40.5,0.20088668354628464,0.03423302512001612
28,5.0,42.0,0.20859089801041483,0.03690995670116667
29,5.0,43.5,0.2142974921688164,0.03971926191849363
30,5.0,45.0,0.21796800331843036,0.04265511331734207
31,5.0,46.5,0.2196291314258888,0.045686356691998074
32,5.0,48.0,0.21936457138999355,0.048758474987753944
33,5.0,49.5,0.21730489822951293,0.05179868374059301
34,5.0,51.0,0.21361652767868197,0.05472300898089326
35,5.0,52.5,0.20849063988776523,0.05744410181452377
36,5.0,54.0,0.20213276550131795,0.059878679308000296
37,5.0,55.5,0.19475352659064624,0.06195376273482281
38,5.0,57.0,0.18656082699019833,0.06361122228038874
39,5.0,58.5,0.17775361547846977,0.06481045941243793
40,5.0,60.0,0.16851721013584323,0.06552931774364634
41,5.0,61.5,0.15902007521176995,0.06576348992353623
42,5.0,63.0,0.14941188018710044,0.06552478197385185
43,5.0,64.5,0.13982263889243415,0.06483862058265641
44,5.0,66.0,0.13036271785919817,0.06374116263078071
45,5.0,67.5,0.12112351091889771,0.062276308767277695
46,5.0,69.0,0.11217859558078504,0.06049285149650874
47,5.0,70.5,0.10358521113064008,0.05844191652651934
48,5.0,72.0,0.09538592509218696,0.056174789441464534
49,5.0,73.5,0.08761038113955087,0.053741167032752155
50,5.0,75.0,0.08027704611250346,0.051187833144590876
51,5.0,76.5,0.0733948954886197,0.04855772557715571
52,5.0,78.0,0.0669649952042645,0.04588935107820587
53,5.0,79.5,0.06098195283322896,0.04321649369456145
54,5.0,81.0,0.05543522333342545,0.040568149356308175
55,5.0,82.5,0.0503102637907023,0.03796864916464205
56,5.0,84.0,0.0455895385469802,0.03543791147340504
57,5.0,85.5,0.04125338097595137,0.03299176568377396
58,5.0,87.0,0.0372807214355091,0.030642358388769636
59,5.0,88.5,0.03364969289745369,0.028398564943231685
60,5.0,90.0,0.03033812674770316,0.02626638355398342
61,5.0,91.5,0.02732395145323692,0.024249383478269805
62,5.0,93.0,0.0245855066287076,0.02234906428822805
63,5.0,94.5,0.022101784216341697,0.020565176720532433
64,5.0,96.0,0.01985260780214995,0.01889612563271369
65,5.0,97.5,0.017818759937579247,0.01733918651673377
66,5.0,99.0,0.015982066481672212,0.01589072430989075
67,5.0,100.5,0.014325445655144492,0.014546546291014983
68,5.0,102.0,0.012832928780771297,0.013301948618989994
69,5.0,103.5,0.011489658512127432,0.012151858951427324
70,5.0,105.0,0.010281869567629411,0.011091163229166036
71,5.0,106.5,0.009196856270791157,0.010114584390755039
72,5.0,108.0,0.00822293030772322,0.009216788346633163
73,5.0,109.5,0.007349371720229826,0.008392709614905087
74,5.0,111.0,0.0065663754208006376,0.007637280195478672
75,5.0,112.5,0.005864995218172718,0.006945529698994232
76,5.0,114.0,0.005237086801104567,0.00631292551319451
77,5.0,115.5,0.004675250934556213,0.005734981631492107
78,5.0,117.0,0.004172777727391273,0.005207367065662244
79,5.0,118.5,0.0037235926898186284,0.0047262643902492045
80,5.0,120.0,0.003322205030778653,0.004287897839518551
81,5.0,121.5,0.002963658585815101,0.0038886498009686916
82,5.0,123.0,0.0026434855243770167,0.0035254297795590515
83,5.0,124.5,0.0023576629995435434,0.003195166416871317
84,5.0,126.0,0.002102572755616226,0.0028949251615811447
85,5.0,127.5,0.0018749636674255852,0.002622269672859472
86,5.0,129.0,0.001671917145361364,0.0023747614301360834
87,5.0,130.5,0.0014908153081886223,0.002150072610435644
88,5.0,132.0,0.0013293117987391184,0.0019463161761781806
89,5.0,133.5,0.0011853050871275502,0.0017615892610416655
90,5.0,135.0,0.0010569141300349517,0.0015940799329281932
91,5.0,136.5,0.0009424562264827223,0.001442342740738876
92,5.0,138.0,0.0008404269020648646,0.001304910490394644
93,5.0,139.5,0.0007494816867570173,0.0011803969966547746
94,5.0,141.0,0.0006684196320288615,0.0010677017898663096
95,5.0,142.5,0.0005961684173741741,0.0009657028634240957
96,5.0,144.0,0.0005317709209797152,0.0008733567542927967
97,5.0,145.5,0.0004743731251069954,0.0007898273751428286
98,5.0,147.0,0.00042321323267687275,0.0007142623792390023
99,5.0,148.5,0.000377611886560998,0.0006458874154530457
100,5.0,150.0,0.00033696339097385666,0.0005840665762653451
