,t,z,csim,cvar
0,5.0,0.0,0.0001725422841080546,1.5230155682482884e-06
1,5.0,1.5,0.00041494802591279583,6.1166742944157665e-06
2,5.0,3.0,0.0008448415751790068,1.90305123354753e-05
3,5.0,4.5,0.0015525533382111502,4.9807054171748467e-05
4,5.0,6.0,0.002647471290840166,0.00011427111498179891
5,5.0,7.5,0.004252162564632852,0.00023552566640403628
6,5.0,9.0,0.006492413517171038,0.00044341329673558703
7,5.0,10.5,0.00948458174047734,0.000771890693273142
8,5.0,12.0,0.013322458396399115,0.0012545904103681215
9,5.0,13.5,0.01806394882509267,0.001919094149787155
10,5.0,15.0,0.02372469890012955,0.002783042358299552
11,5.0,16.5,0.03027138916802969,0.003850616524250768
12,5.0,18.0,0.03762417286613097,0.005112655200582307
13,5.0,19.5,0.04566123674641695,0.006548448097347208
14,5.0,21.0,0.054228074158936074,0.008129646551400544
15,5.0,22.5,0.06314854975071915,0.009824796599896251
16,5.0,24.0,0.07223657781393161,0.011603556260564583
17,5.0,25.5,0.08130706190291567,0.013439838035264126
18,5.0,27.0,0.09018518404889561,0.015313532398779247
19,5.0,28.5,0.09871353272558935,0.017210837746461944
20,5.0,30.0,0.10675692164300495,0.01912348437712401
21,5.0,31.5,0.11420502834757738,0.021047265270870957
22,5.0,33.0,0.12097315890498828,0.022980291833720145
23,5.0,34.5,0.12700153134776257,0.024921318338087032
24,5.0,36.0,0.13225348649455745,0.026868367518445596
25,5.0,37.5,0.136713003514384,0.028817776005375457
26,5.0,39.0,0.1403818401716669,0.030763683332057493
27,5.0,40.5,0.14327655022912011,0.032697921330357455
28,5.0,42.0,0.145425563936779,0.03461022224781418
29,5.0,43.5,0.1468664582845672,0.036488649187962435
30,5.0,45.0,0.1476434946533062,0.03832015484256174
31,5.0,46.5,0.14780546329463698,0.04009118731949719
32,5.0,48.0,0.1474038459262792,0.041788279687071134
33,5.0,49.5,0.14649128818601972,0.04339857867473605
34,5.0,51.0,0.1451203611077477,0.04491028525404825
35,5.0,52.5,0.14334258350791487,0.04631299424505406
36,5.0,54.0,0.14120767381321112,0.047597931167683405
37,5.0,55.5,0.13876299922312926,0.04875809237710636
38,5.0,57.0,0.13605319128257887,0.04978829948115662
39,5.0,58.5,0.13311989920008782,0.05068518168766391
40,5.0,60.0,0.13000165513719303,0.051447100614151656
41,5.0,61.5,0.1267338287964578,0.052074031743979295
42,5.0,63.0,0.12334865175141944,0.05256741555502281
43,5.0,64.5,0.11987529491924094,0.052929989730344074
44,5.0,66.0,0.11633998530107253,0.0531656120400597
45,5.0,67.5,0.11276615053652837,0.05327908164897377
46,5.0,69.0,0.10917458197342485,0.053275964863559476
47,5.0,70.5,0.10558360877569803,0.053162429774163404
48,5.0,72.0,0.10200927717759616,0.0529450928907085
49,5.0,73.5,0.09846553030226403,0.052630879738217465
50,5.0,75.0,0.09496438505904253,0.05222690045743387
51,5.0,76.5,0.0915161035429303,0.05174034072974666
52,5.0,78.0,0.08812935708076887,0.05117836779683735
53,5.0,79.5,0.08481138166869835,0.05054805094164249
54,5.0,81.0,0.08156812401345047,0.04985629551949593
55,5.0,82.5,0.07840437775667251,0.04910978945181199
56,5.0,84.0,0.07532390974806397,0.04831496099760212
57,5.0,85.5,0.07232957645431341,0.047477946582106745
58,5.0,87.0,0.06942343074492995,0.0466045674741908
59,5.0,88.5,0.06660681942332339,0.04570031414680977
60,5.0,90.0,0.06388047194151074,0.04477033722380623
61,5.0,91.5,0.061244580798599735,0.04381944399657648
62,5.0,93.0,0.05869887414274495,0.04285209958561179
63,5.0,94.5,0.05624268112482504,0.0418724319126543
