,t,z,csim,csim2,cvar,cvar2
0,1.0,0.0,0.03701691258547014,0.2517751334689234,0.0013577701116551002,0.006807550196834752
1,1.0,1.0,0.0933934878724886,0.3161471115001226,0.003908616198687299,0.011287584241884932
2,1.0,2.0,0.145866806047235,0.3616689206534669,0.006469767924641441,0.012764878727785034
3,1.0,3.0,0.19207795317197365,0.3912740818443124,0.008255250223622189,0.01200594583585013
4,1.0,4.0,0.23102338404199121,0.40790254397880554,0.009113958756285935,0.01037328462467152
5,1.0,5.0,0.26255650540750575,0.41429375221589115,0.009299013058826952,0.008914070218221354
6,1.0,6.0,0.28704459024018075,0.41284186770682363,0.009194436070114873,0.008162058330174471
7,1.0,7.0,0.3051229739189293,0.40553977561738236,0.009139851371281094,0.008245373546206941
8,1.0,8.0,0.317568916854565,0.39402913162586656,0.009372820273035765,0.009065394574541114
9,1.0,9.0,0.32518969918018137,0.3796163024370909,0.010013521407006343,0.010416580736898662
10,1.0,10.0,0.32875348683320543,0.36331439818595834,0.01108341354430456,0.012072602164210244
11,1.0,11.0,0.32896829627745594,0.3459026808063061,0.012535182821531682,0.013831552498994468
12,1.0,12.0,0.32646283851278063,0.32796840468017663,0.014283087760206162,0.015536361218600359
13,1.0,13.0,0.3217836905074167,0.3099473490929305,0.016225862094066443,0.017077503134333274
14,1.0,14.0,0.31539997860624336,0.2921566471449785,0.018263178290321702,0.01838773140824669
15,1.0,15.0,0.3077076640835441,0.2748215544189331,0.020304780594766883,0.019433636835048285
16,1.0,16.0,0.29903811290126264,0.2580968093939654,0.02227551221878163,0.020206912007809566
17,1.0,17.0,0.28966610117464775,0.24208351385905402,0.024116844761362083,0.020716600872331258
18,1.0,18.0,0.2798181082544894,0.22684235747594544,0.025786623634521125,0.020982803979701536
19,1.0,19.0,0.26967823040869826,0.2124039037113731,0.027256950895757096,0.021031873754279173
20,1.0,20.0,0.2593957979729401,0.1987765402547823,0.02851237094553452,0.020892930408325593
21,1.0,21.0,0.24909040667114948,0.18595259050814153,0.029547352486188873,0.020595458270836836
22,1.0,22.0,0.23885694389439988,0.17391298608658262,0.030364088552455412,0.020167739148999466
23,1.0,23.0,0.22876988110565435,0.1626308194084313,0.03097057280745301,0.019635907678450595
24,1.0,24.0,0.21888675187946838,0.15207402834339223,0.03137885263697409,0.019023452180081928
25,1.0,25.0,0.20925121230665644,0.142207410434825,0.0316037083365787,0.018351023075355407
26,1.0,26.0,0.19989552580165407,0.1329941210220813,0.03166149781547342,0.017636444955198328
27,1.0,27.0,0.1908424388024167,0.12439677522347399,0.03156916919331215,0.016894856301569117
28,1.0,28.0,0.18210734614843785,0.11637824671111864,0.031343845214918564,0.016138922726123883
29,1.0,29.0,0.1736995395113079,0.10890223549251087,0.031002216692663946,0.015379086416480852
30,1.0,30.0,0.1656233292030067,0.10193366020153144,0.030560188036330413,0.014623826662068625
31,1.0,31.0,0.15787918061681178,0.0954389178108757,0.030032708600930196,0.013879915337223296
