,t,z,csim,csim2,cvar,cvar2
0,1.0,0.0,1.2005425268418615,0.0,0.0492905035274227,0.0
1,1.0,1.0,1.189755791709515,0.0,0.04123340933068009,0.0
2,1.0,2.0,1.1754612661093735,0.0,0.033879102289591234,0.0
3,1.0,3.0,1.1591734873423347,0.0,0.027422680561921764,0.0
4,1.0,4.0,1.1412681235685658,0.0,0.022124272307270543,0.0
5,1.0,5.0,1.1220419869104155,0.0,0.01807764541051715,0.0
6,1.0,6.0,1.101763939843302,0.0,0.015266090832911638,0.0
7,1.0,7.0,1.0806429665794945,0.0,0.013599460671288144,0.0
8,1.0,8.0,1.0589019506824378,0.0,0.01296974957509045,0.0
9,1.0,9.0,1.0367434258960566,0.0,0.013252269380386483,0.0
10,1.0,10.0,1.0143212025360684,0.0,0.014312849935611549,0.0
11,1.0,11.0,0.9917823929787591,0.0,0.016016940220462517,0.0
12,1.0,12.0,0.9692485396987182,0.0,0.018236299837408043,0.0
13,1.0,13.0,0.9468247396634114,0.0,0.020852453032356166,0.0
14,1.0,14.0,0.9246013412321021,0.0,0.023758496664078255,0.0
15,1.0,15.0,0.9026539332590992,0.0,0.0268622426770444,0.0
16,1.0,16.0,0.8810453767344796,0.0,0.030086137542400637,0.0
17,1.0,17.0,0.8598268940883117,0.0,0.03336704567891602,0.0
18,1.0,18.0,0.8390390501719139,0.0,0.03665550545871321,0.0
19,1.0,19.0,0.8187126626689814,0.0,0.039914617556900844,0.0
20,1.0,20.0,0.7988696816760358,0.0,0.04311867731311936,0.0
21,1.0,21.0,0.7795240451847676,0.0,0.046251675652968505,0.0
22,1.0,22.0,0.7606825395388139,0.0,0.04930572281083179,0.0
23,1.0,23.0,0.7423456625550626,0.0,0.05227947288258972,0.0
24,1.0,24.0,0.7245084870096863,0.0,0.055176604023120523,0.0
25,1.0,25.0,0.7071615159385982,0.0,0.05800439947945657,0.0
26,1.0,26.0,0.6902915176372815,0.0,0.06077246395443758,0.0
27,1.0,27.0,0.6738823268324268,0.0,0.06349159893391632,0.0
28,1.0,28.0,0.6579155987010097,0.0,0.06617285043395932,0.0
29,1.0,29.0,0.6423715038903303,0.0,0.0688267335003705,0.0
30,1.0,30.0,0.6272293550538457,0.0,0.0714626300251317,0.0
31,1.0,31.0,0.6124681582843601,0.0,0.07408835020515092,0.0
32,1.0,32.0,0.5980670858589461,0.0,0.07670984331048825,0.0
33,1.0,33.0,0.584005869632608,0.0,0.07933104029471633,0.0
34,1.0,34.0,0.5702651170267005,0.0,0.08195380902809757,0.0
35,1.0,35.0,0.556826553725518,0.0,0.08457800236804297,0.0
36,1.0,36.0,0.5436731988560513,0.0,0.08720157967560876,0.0
37,1.0,37.0,0.5307894795767277,0.0,0.08982078351230216,0.0
38,1.0,38.0,0.5181612926711576,0.0,0.09243035488977785,0.0
39,1.0,39.0,0.50577602099339,0.0,0.09502377240157195,0.0
40,1.0,40.0,0.4936225125166694,0.0,0.09759350267711703,0.0
41,1.0,41.0,0.4816910293728137,0.0,0.10013125173758358,0.0
42,1.0,42.0,0.4699731737155528,0.0,0.10262820890723034,0.0
43,1.0,43.0,0.45846179656064157,0.0,0.10507527686348139,0.0
44,1.0,44.0,0.44715089500903993,0.0,0.10746328312820941,0.0
45,1.0,45.0,0.4360355024950939,0.0,0.10978316979051297,0.0
46,1.0,46.0,0.42511157594812493,0.0,0.11202615957291034,0.0
47,1.0,47.0,0.41437588305122713,0.0,0.11418389753106953,0.0
48,1.0,48.0,0.40382589212513614,0.0,0.11624856860615365,0.0
