,t,z,csim,csim2,cvar,cvar2
0,1.0,0.0,0.009612747876220717,0.29773244474141025,0.0001114513004594598,0.002828798470107724
1,1.0,1.0,0.023552614097480405,0.2915507944030087,0.0003018983763126349,0.002189863233018327
2,1.0,2.0,0.03623284625579947,0.28480710496339345,0.0005209633671189652,0.0016668282458403294
3,1.0,3.0,0.047747358930959265,0.2778565321028438,0.0007318188145913904,0.0012536692672708571
4,1.0,4.0,0.058190022076287186,0.2707695253730696,0.0009150186554126591,0.0009499804519049609
5,1.0,5.0,0.06765032021792074,0.26359791667312366,0.0010627039751824616,0.000747850543264636
6,1.0,6.0,0.07621475415423506,0.25638729642226665,0.0011740956815733368,0.0006356406280449284
7,1.0,7.0,0.08396393658738685,0.2491697574980271,0.0012521121349177503,0.0006002190121546722
8,1.0,8.0,0.09097825014316109,0.2419809251348192,0.0013016395782899839,0.000629493688164999
9,1.0,9.0,0.0973370405036908,0.23485159634809152,0.0013286569688753126,0.0007120083611145758
10,1.0,10.0,0.10311413148230016,0.22780176776344205,0.0013390089032276377,0.0008373028471626576
11,1.0,11.0,0.10838154103735054,0.22085021298535198,0.0013384157931338007,0.0009958815149443759
12,1.0,12.0,0.11320674840740852,0.2140104478228274,0.0013320567086506797,0.001179449863501568
13,1.0,13.0,0.11765314841557582,0.20729289781195914,0.001324665784362529,0.0013808199247881195
14,1.0,14.0,0.12177971613321177,0.20070540627472272,0.001320594062446492,0.001593821650350609
15,1.0,15.0,0.12564014501154755,0.19425344706188785,0.001323934758111392,0.001813289296623992
16,1.0,16.0,0.1292826027704719,0.18794069349100181,0.001338691637122861,0.002034920979558902
17,1.0,17.0,0.1327493750474905,0.18176937976020516,0.0013689246436452591,0.0022551656590894947
18,1.0,18.0,0.13607660564120005,0.17574061113267847,0.0014188675532084936,0.00247111497903707
19,1.0,19.0,0.1392941515339442,0.16985462778375934,0.001493009955320694,0.002680404561204861
20,1.0,20.0,0.1424255832258271,0.1641110246125521,0.0015961376435709301,0.0028811276740358487
21,1.0,21.0,0.14548831518006697,0.15850893250117531,0.0017333385761284618,0.0030717613083981986
22,1.0,22.0,0.14849388373541036,0.15304716395085086,0.001909973656225708,0.0032511044927244596
23,1.0,23.0,0.15144835378379193,0.14772432719281756,0.0021316190682179117,0.0034182276566132874
24,1.0,24.0,0.1543528371317758,0.1425389124694777,0.0024039852851162995,0.0035724316658837935
25,1.0,25.0,0.1572040990550948,0.13748935422087596,0.002732818000590942,0.0037132149990213234
26,1.0,26.0,0.1599952260850375,0.13257407288806095,0.003123786048432612,0.003840247526608862
27,1.0,27.0,0.16271632704293915,0.12779149994737204,0.0035823610693265714,0.0039533494468209085
28,1.0,28.0,0.1653552402792585,0.1231400896054379,0.004113693427213155,0.004052474089280535
29,1.0,29.0,0.16789822260995302,0.1186183203200942,0.004722488681448506,0.004137693497237249
30,1.0,30.0,0.17033059911717915,0.11422468898416654,0.005412888754292657,0.004209185910086762
31,1.0,31.0,0.17263735733043714,0.10995770023848067,0.006188361735975954,0.004267224476187489
32,1.0,32.0,0.17480367390069632,0.10581585298956242,0.007051603981822519,0.004312166716676816
33,1.0,33.0,0.176815366364547,0.10179762581701528,0.008004457736122364,0.004344444426271103
34,1.0,34.0,0.17865926669581872,0.09790146258272049,0.009047846951458938,0.00436455383267037
35,1.0,35.0,0.1803235168763029,0.09412575921230383,0.010181733274062285,0.004373045941320534
36,1.0,36.0,0.18179778958734583,0.09046885231717638,0.011405093372532288,0.004370517068438877
37,1.0,37.0,0.18307343930348788,0.08692901006831004,0.012715917950586339,0.004357599615582293
38,1.0,38.0,0.18414359058555332,0.08350442552140104,0.014111231960141711,0.004334953167688172
39,1.0,39.0,0.1850031712892292,0.08019321242604015,0.015587134770081265,0.004303256007885523
40,1.0,40.0,0.1856488988141088,0.07699340342564012,0.01713885839040001,0.004263197140792633
41,1.0,41.0,0.18607922751417746,0.07390295046465906,0.018760841335088124,0.004215468905442145
42,1.0,42.0,0.18629426507145433,0.0709197271610247,0.02044681535144232,0.004160760242776625
43,1.0,43.0,0.18629566508911558,0.0680415328678815,0.02218990204350852,0.004099750663628689
44,1.0,44.0,0.18608650246816888,0.06526609813521772,0.02398271634150842,0.0040331049433770345
45,1.0,45.0,0.1856711373580484,0.0625910912842614,0.025817473803662144,0.003961468550496767
46,1.0,46.0,0.18505507266915777,0.0600141258197418,0.02768609892480693,0.003885463799331612
47,1.0,47.0,0.18424480934338539,0.05753276842696047,0.029580331989018945,0.0038056867026259487
48,1.0,48.0,0.18324770282623173,0.05514454732472611,0.03149183238643865,0.003722704487810768
49,1.0,49.0,0.18207182349007237,0.05284696077576263,0.03341227646899659,0.0036370537317085157
50,1.0,50.0,0.1807258231329074,0.05063748557936243,0.03533344804882935,0.0035492390627188076
51,1.0,51.0,0.17921880912745777,0.048513585404081135,0.03724732016838563,0.0034597323749915765
52,1.0,52.0,0.17756022732036902,0.04647271884852077,0.03914612805347514,0.0033689724968264524
53,1.0,53.0,0.1757597543793007,0.04451234712787107,0.04102243399328399,0.0032773652569871186
54,1.0,54.0,0.1738271999523743,0.04262994132345656,0.04286918360442574,0.0031852838923883122
55,1.0,55.0,0.17177241873218935,0.04082298914429983,0.044679750575528254,0.0030930697443421304
56,1.0,56.0,0.16960523230148383,0.039089001152160546,0.04644796796974545,0.0030010331947119126
57,1.0,57.0,0.1673353604693262,0.03742551646637384,0.04816815041098714,0.002909454792181721
58,1.0,58.0,0.1649723616831376,0.03583010788892957,0.04983511603745426,0.0028185865297614323
59,1.0,59.0,0.1625255820020665,0.03430038650671527,0.05144420972022147,0.002728653231429772
60,1.0,60.0,0.16000411207918003,0.03283400574640678,0.05299131315977257,0.0026398540193337287
61,1.0,61.0,0.15741675153205817,0.03142866489187025,0.05447282540347363,0.002552363834414378
62,1.0,62.0,0.15477198008119664,0.030082112148964217,0.05588562432046015,0.0024663349794629523
63,1.0,63.0,0.1520779348640717,0.028792147177834296,0.05722705105485907,0.0023818986649720266
64,1.0,64.0,0.14934239327305018,0.027556623248283826,0.058494944748138746,0.0022991665290693817
65,1.0,65.0,0.14657276078054385,0.026373448908140182,0.05968768517245231,0.0022182321309532588
66,1.0,66.0,0.14377606313257377,0.025240589350536486,0.06080415246540158,0.002139172407022862
